year,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,duration_ms,popularity
1924,0.6214615384615385,0.3630769230769232,0.6499230769230768,119.21861538461539,-11.740076923076924,0.7616923076923077,0.06359494923076923,0.0511,227663.61538461538,0.38461538461538464
1925,0.526,0.35450000000000004,0.8055,129.2885,-11.8305,0.98,0.08728749999999999,0.29255,189300.0,15.0
1926,0.34933333333333333,0.1221,0.22233333333333336,98.86566666666666,-18.987333333333336,0.983,0.5687,0.04323333333333334,209364.33333333334,0.0
1927,0.70275,0.281,0.7697499999999999,97.05025,-15.203,0.8987499999999999,0.1050021525,0.15592499999999998,161360.0,0.75
1928,0.3480070921985815,0.12805645390070922,0.23976914893617024,95.6884574468085,-22.321826241134747,0.9879113475177309,0.8616117730496456,0.04217872340425534,283926.609929078,0.6205673758865248
1930,0.437188679245283,0.2200679245283019,0.32259811320754705,102.96299999999998,-17.745679245283018,0.9567924528301884,0.558329566981132,0.06798301886792456,341456.24528301886,8.716981132075471
1932,0.49350000000000005,0.25881666666666664,0.46178333333333327,121.33216666666668,-13.354833333333334,0.9556666666666668,0.16494633333333333,0.06139999999999999,174950.66666666666,4.166666666666667
1933,0.6271379310344827,0.22170689655172418,0.5767241379310344,107.91300000000003,-12.087068965517243,0.9069310344827588,0.0025716851724137926,0.05168620689655172,181789.89655172414,30.896551724137932
1934,0.629,0.29233333333333333,0.777,145.48333333333335,-12.842999999999998,0.941,0.734,0.0832,183577.66666666666,0.3333333333333333
1935,0.49279245283018863,0.2783283018867925,0.5481264150943398,111.01932075471699,-15.970037735849058,0.8873584905660378,0.19538656245283018,0.12800566037735847,225871.3962264151,3.358490566037736
1936,0.5923714285714287,0.28083142857142845,0.6130614285714286,117.3988285714286,-13.381771428571428,0.8957771428571425,0.14055010257142858,0.06583999999999997,176549.41428571427,1.8142857142857143
1937,0.6554347826086956,0.36034782608695654,0.7752391304347827,122.95476086956523,-13.283934782608695,0.8505869565217389,0.4871787141304347,0.09756739130434786,164888.71739130435,6.782608695652174
1938,0.5761000000000001,0.352615,0.6441999999999999,123.99719999999999,-11.40545,0.8216999999999999,0.015889059500000004,0.047095000000000005,180599.15,9.0
1939,0.5278214285714288,0.24558928571428568,0.5423571428571429,105.83533928571426,-13.908732142857142,0.930232142857143,0.2588639323214285,0.06856428571428572,176877.89285714287,7.321428571428571
1940,0.6432758620689655,0.47711379310344837,0.7966551724137931,106.5624482758621,-11.548103448275864,0.7813793103448275,0.14604052379310345,0.1437965517241379,224662.8275862069,6.655172413793103
1941,0.5316326530612243,0.28992448979591834,0.5257326530612245,102.06734693877551,-14.746163265306125,0.8699795918367345,0.2600575222448979,0.10321224489795922,199839.02040816325,1.5510204081632653
1942,0.42258823529411743,0.20232058823529414,0.3428990196078432,102.9747352941176,-16.41312745098039,0.941147058823529,0.32421110392156866,0.061007843137254894,230852.30392156861,3.3627450980392157
1943,0.2702243902439025,0.22374146341463416,0.2222756097560975,105.21504878048783,-15.095292682926827,0.7311317073170733,0.5756844975609755,0.06224146341463413,207571.48780487804,2.3902439024390243
