id,A,B,C,D,E,F,G,H,I,J
792507,1.764759994,-0.680708949,0.128471018,-0.00111394,-0.204713451,-0.27857382,-0.121764457,-0.142037479,-0.066357235,0.03870235
119107,2.299512286,-2.077263823,1.13511931,-0.927886323,0.086357045,0.249512245,0.013041274,0.23303152,-0.033647363,-0.068004134
816890,1.591848351,0.417022282,0.616236323,0.008820956,-0.187320528,-0.263923202,0.037634559,0.014475298,-0.020462372,-0.02003497
79016,2.034687341,-0.503752776,0.617535005,-0.371031924,-0.411636548,-0.113369111,0.11904172,-0.147944586,0.019610675,0.107553232
66915,1.383481517,0.141497347,0.160287727,0.046297755,0.070307775,0.063918306,-0.107408904,-0.093960925,0.038896567,-0.006981954
894465,0.685660194,0.393504889,-0.091505455,-0.157266898,0.234305819,-0.024218382,-0.104725072,0.082770943,-0.006671534,0.019539661
41874,1.052281091,0.153282871,-0.038352186,-0.398723519,0.03884634,-0.417972405,-0.062468136,0.07338875,0.024871625,0.001260222
180228,1.676274575,0.18486902,0.081680575,-0.065538458,-0.156821494,-0.375915195,-0.108008908,0.035966686,-0.091736508,-0.041178902
26350,2.170773816,-1.365141093,1.004195173,-0.330931281,-0.172142355,0.396133634,-0.24589861,0.024749752,0.000709553,0.040107499
423829,1.623271842,-0.497369296,0.211011615,-0.016203899,0.066663911,0.509377813,-0.138332441,-0.09380029,-0.005815789,0.027649358
184502,1.892507418,-0.584299485,0.382750248,-0.0331966,-0.17040345,-0.123954069,-0.055708437,-0.177702372,-0.055414479,0.070535763
813392,1.971586324,-0.589162653,0.22399425,-0.416315429,-0.337767386,-0.321734815,-0.019103946,-0.109133851,-0.02312846,0.045941008
858827,0.662341471,0.064481609,0.201054803,0.19299018,0.259662321,-0.098056738,-0.040813136,-0.064570223,-0.053285314,-0.033091299
132940,2.090756091,-0.431843786,1.53969845,-1.06945715,0.221851237,0.106565414,-0.003204784,-0.02008198,0.019373525,0.105837956
803752,2.09821379,-0.578209578,0.333018672,-0.494309143,-0.363302762,-0.051641886,-0.510736529,0.447315596,-0.080038212,-0.11038778
754032,0.90281467,0.351973751,-0.216759385,0.076547986,-0.10669121,-0.30541016,-0.097613363,0.034748662,-0.023472312,0.000410212
182900,0.945210274,0.138074684,-0.244589607,-0.220378411,0.006282389,0.057576516,-0.02698999,0.028871002,0.043588223,-0.042454244
139026,0.396340485,0.176755796,-0.06690595,0.236661757,0.314202468,0.219561767,-0.254267282,-0.006020269,-0.078985743,-0.02407571
69402,0.318491702,0.741626736,0.661125782,0.475380737,-0.314327332,0.259563576,0.021385271,-0.030381023,0.028072479,0.019542457
411761,1.765559608,-0.249865417,0.152629563,0.062056703,-0.067528438,-0.050589012,-0.131035284,-0.110398783,-0.041473775,0.005583161
796734,0.888693093,0.136783573,-0.309523779,-0.054365461,0.190435929,0.107992385,-0.059794389,-0.113189249,0.048092273,-0.019552292
622805,0.887482683,0.217627884,-0.022487436,-0.079059017,-0.011114105,0.068436837,-0.040083031,-0.057195626,-0.056551379,-0.058805028
316834,1.092062568,0.253893564,-0.061181572,-0.184598288,0.071756308,0.012674583,-0.080664155,0.044737577,-0.04265964,-0.011635403
239859,1.990396081,-1.254972133,1.019582591,0.066308211,0.224339109,0.286188449,-0.173770249,0.071481863,-0.048549436,-0.0425143
577627,0.415865153,0.188201018,0.144271998,-0.022809544,0.368634456,-0.044802893,-0.074937664,-0.037831083,0.013922797,-0.035813579
583959,1.510345453,-0.098847285,-0.087871401,-0.11911384,-0.146462206,-0.181651392,0.066723013,-0.033753257,0.010843308,-0.030092063
988440,1.139265099,0.148128092,-0.159486563,-0.166861814,0.100989802,0.372994117,-0.110669878,-0.035877196,0.010189862,-0.025180904
175553,1.639496723,-0.388001429,0.169893746,-0.031039939,0.19030541,0.549407955,-0.145124468,-0.14785192,-0.000682148,0.031446935
490416,1.868010212,-0.524324595,0.421596803,-0.122504281,0.003721607,0.298971595,0.049161763,0.174936767,0.075702568,0.067455852
197424,1.410121297,0.022145365,-0.259034605,-0.115530308,-0.12265033,-0.271174353,-0.120865799,-0.08959237,-0.059579493,0.137795061
489316,2.100159432,-0.959123968,0.453064944,-0.426198203,-0.397533049,0.097154433,0.088909035,0.366965998,0.049001471,0.000911314
446509,-2.046393456,-0.096838347,0.348412629,0.510866594,0.496633751,0.273410526,-0.200459379,-0.013395449,-0.042662367,0.031031243
219203,-0.173429789,-0.032075082,-0.267953587,0.037941437,0.286500299,0.020246303,-0.10641624,-0.008579981,0.016217996,-0.043936065
531986,0.552265427,0.227904722,-0.068703186,0.13281508,0.073780319,-0.007827999,-0.122903145,-0.0107784,-0.010447846,-0.0544668
200791,1.279505931,0.147538351,-0.211892952,-0.391450972,-0.05111245,-0.199834769,0.056646169,0.05249882,-0.019507163,-0.061918423
100160,0.706708703,0.426844893,0.062441108,-0.257096913,0.183826945,-0.213774453,-0.019072198,-0.009842141,-0.022063202,-0.021919495
883318,-0.996915624,0.367215485,0.060416227,0.270735847,0.134904755,-0.009024152,0.040075817,0.011339929,-0.049332729,0.024735263
216348,1.86608794,-0.343621588,-0.014711752,-0.491780474,-0.121954021,-0.316133469,-0.085419386,-0.119842003,-0.066515822,0.069967981
927555,1.474455963,0.134205998,0.126069178,-0.034295167,-0.064317993,-0.061330248,-0.022952851,-0.086035389,0.002967094,0.016975842
189644,2.039883819,-1.058119556,0.499194301,-0.395023317,-0.32144051,-0.293981506,0.034067084,-0.199638381,0.00203573,0.077520028
944084,0.855671294,0.067336275,-0.537422254,-0.289658873,-0.120426584,-0.197925936,0.117851952,-0.027283353,0.061973601,-0.063057843
