popularity,id
10800,66915
8840,79016
7251,792507
5032,816890
4878,858827
4322,922728
4205,813392
3895,75747
3805,325459
3760,750742
3725,131650
3550,346336
3349,132940
3173,814751
3004,803752
2997,379125
2961,472102
2919,864209
2868,295756
2805,182900
2798,600069
2756,239827
2744,246611
2694,206967
2665,855531
2632,894465
2581,189644
2579,240252
2576,131627
2570,316834
2430,139026
2416,207644
2360,1535255
2349,260038
2290,184502
2290,796734
2207,531986
2141,138699
2115,26350
2076,740576
2075,239859
2044,404434
2034,41874
2023,1426748
2009,615119
1957,751019
1942,224186
1929,149946
1926,664770
1920,85915
1895,232564
1894,490004
1878,414251
1832,538677
1815,934367
1769,583959
1755,5882
1724,9680
1720,28002
1717,754032
1711,75100
1663,467203
1662,247966
1656,204901
1636,186312
1603,944084
1596,187478
1594,813946
1582,607448
1578,130932
1554,180228
1550,574772
1547,6334
1545,355142
1537,490416
1513,952794
1510,667669
1491,350840
1476,1006782
1457,69402
1435,409968
1407,68551
1402,81832
1400,46699
1387,267411
1377,406294
1375,69986
1362,477875
1361,1340026
1351,500992
1347,216348
1300,367188
1295,745584
1282,31022
1281,62823
1279,617196
1277,610706
1259,988440
1258,200791
1237,840102
1231,199995
1229,61938
1210,175553
1207,640675
1202,673621
1194,661524
1181,774588
1178,742899
1173,744796
1171,944310
1164,631774
1159,14651
1148,299471
1137,2659130
1135,136871
1134,54982
1134,269172
1134,318882
1133,170770
1131,800100
1125,489316
1124,2674162
1124,366681
1121,20403
1114,604852
1112,686577
1108,775877
1107,72041
1097,806336
1094,7731
1093,114342
1088,594665
1083,141681
1071,848784
1067,522768
1064,266063
1063,884686
1061,424244
1055,179205
1048,1176481
1045,258000
1037,559405
1034,249973
1032,219203
1028,471355
1024,136640
1023,933458
1017,752314
1003,55128
1003,673486
999,424302
998,479149
996,2014409
994,333464
989,376422
987,755156
986,59156
982,781094
979,7920
978,2784799
974,330575
973,555695
972,31067
971,129775
959,766094
950,957296
949,279141
945,804431
942,154544
937,201760
935,840402
929,850692
926,578141
924,40743
922,20729
921,212612
921,196248
918,899530
913,354105
913,390532
912,589630
898,117844
892,423829
889,29884
887,921965
877,174822
876,769388
869,166785
865,38936
859,42993
856,184091
854,44290
853,110161
850,137390
847,761179
845,259529
839,664378
839,501407
831,418662
824,485135
821,344275
812,206241
812,585249
812,108826
812,575695
811,863790
808,3595
805,144458
805,317545
797,936425
795,789775
793,762885
790,186927
788,686897
788,332141
786,190946
786,590479
784,206407
779,184814
775,279337
774,802302
772,894956
771,186594
760,2040645
756,208076
752,376204
749,137580
749,5441
748,43714
744,368367
742,938798
739,780258
736,140499
731,290502
730,771438
724,542549
722,591857
721,98465
719,282709
717,671953
715,577235
715,98081
713,643549
700,178654
693,143494
692,657041
691,1482685
690,296024
689,9441
686,187907
684,6320
682,322027
682,567862
679,786613
673,903609
666,490860
665,246885
663,318085
661,120521
655,919525
651,396676
647,796741
645,262255
643,627026
639,473554
636,811897
636,65620
634,765595
633,12180
632,669511
631,892771
629,11707
621,271113
621,757157
614,957085
614,120067
611,664817
610,319347
606,987777
605,592161
604,576718
602,30431
600,19297
598,186185
597,923432
595,755152
594,2165952
594,758999
594,852855
589,217792
584,352992
584,923384
583,554963
581,741746
580,89058
579,253734
579,167399
575,758601
568,156938
567,317093
563,68780
561,10538
558,580300
555,565634
550,615026
546,950571
544,152384
543,68934
543,53441
543,607028
542,790667
542,937703
541,175992
538,175286
535,169578
534,286561
534,40695
534,169202
533,520975
531,245250
529,1168958
529,94210
527,201668
523,390390
522,304458
520,33161
520,75801
515,209142
514,944206
511,81739
511,39656
509,660507
509,888730
507,326249
507,264350
505,141838
504,340152
501,290072
501,228323
500,302685
500,97173
498,478426
497,38466
496,923323
494,102985
494,187581
494,790988
494,762990
493,419102
492,802791
490,179698
485,30250
484,128249
483,138520
482,601079
481,345734
481,2393596
476,208404
476,583723
475,831381
475,410219
474,167361
471,73383
470,4852
470,849672
469,2766592
468,581713
468,291043
467,36106
466,192840
465,22124
464,184043
461,503460
459,48816
459,545074
459,665957
457,70800
455,3006966
455,916783
452,12472
448,787428
447,749671
447,8570
446,2508103
443,198783
441,749571
438,1098
438,411761
438,192382
436,639053
436,341672
433,478603
432,108124
430,569685
429,13377
429,548020
428,2487188
427,578031
426,459616
426,167762
425,861687
425,766066
424,860561
421,493327
420,17021
419,205627
419,240865
418,16835
417,83095
417,29867
416,926237
416,596126
416,607094
415,81561
414,607283
413,162269
411,119651
407,510805
407,100160
407,667794
405,580058
404,781837
403,567570
403,803720
403,662797
403,865016
403,102050
402,883318
400,142767
399,798326
398,334644
398,39013
397,230963
397,311680
397,130855
396,308645
394,310383
393,107753
393,93322
390,328288
390,987481
390,360956
390,275386
389,216294
389,496525
389,852688
388,307102
388,573391
387,578999
387,137494
386,107139
386,480086
385,329232
385,58616
384,672269
383,325357
383,784527
383,895443
383,125822
382,838524
382,945951
382,333634
380,392299
379,233066
378,61172
378,57124
377,502163
377,195874
376,636474
376,274321
375,328014
374,651156
373,194018
372,49774
371,495338
371,337119
371,108446
370,150629
368,52151
367,295276
367,955773
366,239921
366,294923
365,1055285
364,2515882
363,107090
362,951384
360,608166
359,507558
359,505047
359,617613
358,1950198
358,33666
358,44764
358,3271457
357,946137
354,251375
354,61690
352,84209
352,424292
351,924306
351,793227
350,551815
348,403454
348,130036
348,816517
347,22928
346,3523590
346,76881
345,122754
344,918600
344,129637
344,762097
343,299882
342,846634
341,82639
341,605375
340,19892
340,2873356
340,24309
339,2739175
338,169189
335,564726
335,165818
334,193320
333,2639628
