influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start,influencer_count,Same,total_people
759491,The Exploited,Pop/Rock,1980,74,Special Duties,Pop/Rock,1980,12,True,12
151290,B脙漏la Fleck,Jazz,1970,589,Tony Furtado,Pop/Rock,1980,11,False,18
286662,Sam Bush,Country,1960,589,Tony Furtado,Pop/Rock,1980,7,False,18
748421,Trey Anastasio,Pop/Rock,1980,589,Tony Furtado,Pop/Rock,1980,1,True,1
1528006,Olivier Messiaen,Classical,1930,1589,Gy脙露rgy Kurt脙隆g,Classical,1960,3,True,3
133969,Joan Armatrading,Pop/Rock,1970,2578,Tanita Tikaram,Pop/Rock,1980,12,True,12
7689,TLC,R&B;,1990,2750,Total,R&B;,1990,37,True,314
160690,En Vogue,R&B;,1990,2750,Total,R&B;,1990,22,True,314
208774,Janet Jackson,R&B;,1970,2750,Total,R&B;,1990,59,True,314
262255,Mariah Carey,R&B;,1980,2750,Total,R&B;,1990,42,True,314
319347,R. Kelly,R&B;,1990,2750,Total,R&B;,1990,38,True,314
376204,Mary J. Blige,R&B;,1990,2750,Total,R&B;,1990,34,True,314
802302,Chaka Khan,R&B;,1960,2750,Total,R&B;,1990,37,True,314
820434,Whitney Houston,R&B;,1980,2750,Total,R&B;,1990,45,True,314
112462,Cream,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,91,True,1135
139026,Led Zeppelin,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,221,True,1135
187478,Eric Clapton,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,46,True,1135
192382,Deep Purple,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,95,True,1135
240865,Jeff Beck,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,45,True,1135
255371,Leslie West,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,3,True,1135
354105,Jimi Hendrix,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,201,True,1135
489303,The Yardbirds,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,105,True,1135
831381,Robin Trower,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,9,True,1135
894465,The Rolling Stones,Pop/Rock,1960,2867,Pat Travers,Pop/Rock,1970,319,True,1135
176936,Elmore James,Blues,1930,2867,Pat Travers,Pop/Rock,1970,51,False,71
824599,Little Walter,Blues,1940,2867,Pat Travers,Pop/Rock,1970,20,False,71
517607,Brand New,Pop/Rock,2000,3226,Alexisonfire,Pop/Rock,2000,4,True,71
583618,Sunny Day Real Estate,Pop/Rock,1990,3226,Alexisonfire,Pop/Rock,2000,33,True,71
626463,Stone Temple Pilots,Pop/Rock,1990,3226,Alexisonfire,Pop/Rock,2000,23,True,71
859509,Quicksand,Pop/Rock,1990,3226,Alexisonfire,Pop/Rock,2000,11,True,71
178014,U-Roy,Reggae,1960,4358,Tony Rebel,Reggae,1990,24,True,24
42234,Steven Halpern,New Age,1970,4458,Parijat,New Age,2000,4,True,4
536122,George Duke,Jazz,1960,4553,T-Connection,R&B;,1970,16,False,16
100160,The Kinks,Pop/Rock,1960,4955,Space,Pop/Rock,1990,192,True,341
577627,The Who,Pop/Rock,1960,4955,Space,Pop/Rock,1990,149,True,341
21334,Stephanie Mills,R&B;,1960,6568,Alicia Myers,R&B;,1980,6,True,17
816701,Deniece Williams,R&B;,1970,6568,Alicia Myers,R&B;,1980,10,True,17
825168,The Jones Girls,R&B;,1960,6568,Alicia Myers,R&B;,1980,1,True,17
197424,Vicente Fern脙隆ndez,Latin,1960,6860,Alicia Villarreal,Latin,1990,4,True,20
311680,Luis Miguel,Latin,1980,6860,Alicia Villarreal,Latin,1990,11,True,20
617613,Alejandro Fern脙隆ndez,Latin,1990,6860,Alicia Villarreal,Latin,1990,4,True,20
619388,Alejandro Sanz,Latin,1980,6860,Alicia Villarreal,Latin,1990,1,True,20
