artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),id_count,new_id
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.514,0.327,0.602,126.221,-10.422,1,8,0.841,0.00127,0.0717,0.0366,0,233773,11,1956,1/1/1956,Boogie *****,2,479028
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.514,0.327,0.602,126.221,-10.422,1,8,0.841,0.00127,0.0717,0.0366,0,233773,11,1956,1/1/1956,Boogie *****,2,346637
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.547,0.394,0.539,127.598,-10.591,1,6,0.7240000000000001,0.000113,0.0789,0.0511,0,215667,9,1956,1/1/1956,Opus *,2,479028
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.547,0.394,0.539,127.598,-10.591,1,6,0.7240000000000001,0.000113,0.0789,0.0511,0,215667,9,1956,1/1/1956,Opus *,2,346637
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.611,0.506,0.7659999999999999,152.032,-6.129,1,8,0.962,0.0046,0.0533,0.0559,0,187560,17,1941,1941,Thanks For The Boogie Ride,2,479028
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.611,0.506,0.7659999999999999,152.032,-6.129,1,8,0.962,0.0046,0.0533,0.0559,0,187560,17,1941,1941,Thanks For The Boogie Ride,2,346637
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.57,0.523,0.7829999999999999,76.27199999999998,-5.5310000000000015,1,8,0.961,0.005679999999999999,0.0543,0.07200000000000001,0,187507,1,1932,1932,Thanks For The Boogie Ride,2,479028
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.57,0.523,0.7829999999999999,76.27199999999998,-5.5310000000000015,1,8,0.961,0.005679999999999999,0.0543,0.07200000000000001,0,187507,1,1932,1932,Thanks For The Boogie Ride,2,346637
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.519,0.345,0.535,133.33100000000002,-9.508,1,8,0.804,0.0,0.0739,0.0386,0,204000,14,1956,1/1/1956,Let Me *** Uptown,2,479028
"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.519,0.345,0.535,133.33100000000002,-9.508,1,8,0.804,0.0,0.0739,0.0386,0,204000,14,1956,1/1/1956,Let Me *** Uptown,2,346637
"[""Colby O'Donis"", 'Akon']","[106145, 933458]",0.775,0.6409999999999999,0.305,119.974,-6.718,1,1,0.0327,0.0,0.18,0.038,0,243013,57,2008,1/1/2008,What You Got - Main,2,106145
"[""Colby O'Donis"", 'Akon']","[106145, 933458]",0.775,0.6409999999999999,0.305,119.974,-6.718,1,1,0.0327,0.0,0.18,0.038,0,243013,57,2008,1/1/2008,What You Got - Main,2,933458
"[""Destiny's Child"", 'Missy Elliott']","[210991, 502371]",0.7809999999999999,0.59,0.446,97.86,-8.333,0,11,0.0447,1.4e-06,0.092,0.0606,0,297333,37,1999,7/27/1999,"Confessions (feat. Missy ""Misdemeanor"" Elliott)",2,210991
"[""Destiny's Child"", 'Missy Elliott']","[210991, 502371]",0.7809999999999999,0.59,0.446,97.86,-8.333,0,11,0.0447,1.4e-06,0.092,0.0606,0,297333,37,1999,7/27/1999,"Confessions (feat. Missy ""Misdemeanor"" Elliott)",2,502371
"[""Destiny's Child"", 'Next']","[210991, 391177]",0.687,0.7070000000000001,0.821,127.81,-5.691,0,6,0.0156,0.0,0.113,0.222,0,275160,36,1999,7/27/1999,If You Leave (feat. Next),2,210991
"[""Destiny's Child"", 'Next']","[210991, 391177]",0.687,0.7070000000000001,0.821,127.81,-5.691,0,6,0.0156,0.0,0.113,0.222,0,275160,36,1999,7/27/1999,If You Leave (feat. Next),2,391177
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.506,0.773,0.946,123.616,-7.01,1,2,0.445,6.89e-06,0.266,0.0493,0,167427,31,1971,8/1/1971,Highway 49,6,276085
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.506,0.773,0.946,123.616,-7.01,1,2,0.445,6.89e-06,0.266,0.0493,0,167427,31,1971,8/1/1971,Highway 49,6,187478
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.506,0.773,0.946,123.616,-7.01,1,2,0.445,6.89e-06,0.266,0.0493,0,167427,31,1971,8/1/1971,Highway 49,6,45313
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.506,0.773,0.946,123.616,-7.01,1,2,0.445,6.89e-06,0.266,0.0493,0,167427,31,1971,8/1/1971,Highway 49,6,78802
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.506,0.773,0.946,123.616,-7.01,1,2,0.445,6.89e-06,0.266,0.0493,0,167427,31,1971,8/1/1971,Highway 49,6,773407
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.506,0.773,0.946,123.616,-7.01,1,2,0.445,6.89e-06,0.266,0.0493,0,167427,31,1971,8/1/1971,Highway 49,6,829643
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.57,0.8370000000000001,0.737,100.131,-7.0539999999999985,0,11,0.14400000000000002,0.0691,0.513,0.0784,0,139827,28,1971,8/1/1971,Do The Do,6,276085
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.57,0.8370000000000001,0.737,100.131,-7.0539999999999985,0,11,0.14400000000000002,0.0691,0.513,0.0784,0,139827,28,1971,8/1/1971,Do The Do,6,187478
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.57,0.8370000000000001,0.737,100.131,-7.0539999999999985,0,11,0.14400000000000002,0.0691,0.513,0.0784,0,139827,28,1971,8/1/1971,Do The Do,6,45313
