id,A,B,C,D,E,F,G,H,I,J,K
792507,1.758143316,0.1290864,-0.592601866,0.423833342,0.039111689,0.247420031,-0.314875536,-0.199182367,-0.115656501,-0.043966008,0.069112802
119107,2.311835701,-1.05381023,-1.725090285,1.412075099,-1.00746141,-0.021825906,0.092656485,0.216946416,0.044216632,-0.057654697,-0.116681634
816890,1.576067054,0.800265929,0.513656615,0.598153044,-0.066296388,-0.078502766,-0.253884276,-0.225535779,0.057866342,-0.013772982,-0.017645928
79016,2.028860147,0.136986186,-0.379184004,0.719840809,-0.431552969,-0.048454175,-0.435583702,-0.039313326,0.120913081,0.045515341,0.138441043
66915,1.368829,0.461892953,0.261869498,0.403305447,0.108952735,0.400165873,-0.077749268,0.125136797,-0.085335529,0.060444452,0.010815013
894465,0.701914682,-1.609885723,0.577494015,0.032337115,-0.033101479,0.439372525,0.097075288,-0.014315256,-0.077452896,-0.011481589,0.002967268
41874,1.041457659,0.673880296,0.130520276,-0.013911683,-0.367423048,0.243580912,-0.05331486,-0.409724768,-0.046380256,0.018618388,-0.011496535
180228,1.69340963,-1.60817595,0.363628612,0.186662735,0.005897607,0.226215758,-0.279549148,-0.326950646,-0.085613748,-0.0915089,-0.041908858
26350,2.163339005,0.380593463,-1.154743546,1.185749244,-0.454587516,-0.207952832,-0.141383119,0.404584327,-0.226182566,-0.00053206,0.025952453
423829,1.642279201,-1.6473813,-0.288211487,0.39527639,0.029460609,0.134710153,0.051401539,0.531544599,-0.136544387,0.006242844,0.040211665
184502,1.911697217,-1.650652919,-0.378257116,0.552990853,-0.024351525,0.024736216,-0.210121641,-0.063169469,-0.069416339,-0.034547798,0.106686197
813392,1.964607007,0.417279573,-0.572362436,0.329362295,-0.435227459,0.053241681,-0.373584358,-0.262044598,-0.020753004,-0.007218634,0.069917838
858827,0.663289006,-0.527243647,0.226060896,0.401577645,0.246742926,0.283047244,0.138474701,-0.067115546,-0.036292399,-0.041400542,-0.017138219
132940,2.100686005,-0.959720031,-0.087193587,1.442142356,-1.23157943,-0.22536929,0.2470581,0.085711558,-0.01420474,0.018627497,0.104758811
803752,2.095274919,0.425379623,-0.534104511,0.267946244,-0.565324751,-0.188101987,-0.3538955,-0.100423596,-0.441496166,-0.134591444,-0.204159678
754032,0.921571611,-1.606513212,0.460475835,-0.149182774,0.173464164,0.233525292,-0.208171311,-0.271554635,-0.080312263,-0.025155258,-0.003178473
182900,0.931065632,0.672785818,0.138984899,-0.076151195,-0.125500438,0.448262273,-0.110436611,0.09324522,0.004626194,0.050902846,-0.047580049
139026,0.399870929,-0.521828398,0.273117759,0.06347874,0.305620397,0.252437035,0.237449603,0.218364071,-0.244506073,-0.078746661,-0.025820373
69402,0.301721982,0.715436664,0.87511009,0.637808452,0.387350774,-0.19367735,-0.347831547,0.310584842,0.051869197,0.044843818,0.025966144
411761,1.748702049,0.666121032,-0.146982465,0.459978063,0.117884687,0.376451413,-0.215486882,0.026458082,-0.108928856,-0.017616219,0.028691916
796734,0.907492613,-1.622389892,0.238546852,-0.171688043,0.074685853,0.381182568,0.112788571,0.136184032,-0.066565408,0.06145757,0.00153863
622805,0.899411264,-0.924816021,0.269826407,-0.047789157,-0.051860794,0.046792756,-0.016623489,0.08363656,-0.046283597,-0.051021231,-0.045265068
316834,1.110366807,-1.613457856,0.404936197,0.009431113,-0.093341111,0.285916546,-0.013185843,0.028491554,-0.062557519,-0.044764178,-0.019194649
239859,1.984266732,0.105942456,-0.971591192,1.311977352,-0.021993218,-0.068252635,0.190113231,0.275915615,-0.154011186,-0.054537568,-0.061334853
577627,0.417749941,-0.526538065,0.32839248,0.285951983,0.03814904,0.321719762,0.257012563,-0.034055813,-0.072197816,0.020060525,-0.028233252
583959,1.514597092,-0.533515094,-0.039261828,0.040251098,-0.056737256,0.226201199,-0.220363494,-0.135834894,0.076630775,0.02086833,-0.019105648
988440,1.120930744,0.676752668,0.228858605,0.137144668,-0.038190696,0.635841892,-0.064172789,0.431701345,-0.069455314,0.030106314,-0.019810324
175553,1.661395586,-1.639920182,-0.236706591,0.245739908,-0.010883394,0.011109565,0.231383558,0.548221186,-0.16663844,0.010875083,0.053094125
490416,1.868389555,0.143418696,-0.461743745,0.382578523,-0.207507951,-0.257093427,0.081684674,0.246145979,0.065722699,0.055361687,0.02628986
197424,1.398541206,0.450560237,0.030638073,-0.036957566,-0.012235125,0.458541567,-0.273614179,-0.200099408,-0.101040947,-0.03998986,0.156505695
489316,2.127520865,-1.673291697,-0.800959075,0.372673888,-0.505293964,-0.38886956,-0.291040884,0.041818033,0.12779511,0.006251006,-0.073983046
446509,-2.055440478,-0.056580885,0.13917189,0.694838506,0.570711805,0.378641814,0.338950362,0.287864519,-0.175948857,-0.033652972,0.029552259
219203,-0.189030409,0.547046683,0.034917145,0.079531057,0.18213674,0.661110898,0.095417519,0.061635384,-0.075779218,0.028201194,-0.042051609
531986,0.571998677,-1.61625378,0.353399092,-0.017790336,0.198885534,0.137807252,0.021258256,0.004921746,-0.120101603,-0.010780978,-0.05188932
200791,1.283092192,-0.526776776,0.198226542,-0.110727701,-0.292168872,0.388412845,-0.158139534,-0.165995837,0.079875036,-0.017816356,-0.066492639
100160,0.699455628,0.466322472,0.408157154,0.000286823,-0.255306537,0.115820822,0.139710357,-0.217409914,-0.023582971,-0.021890997,-0.017627606
883318,-0.974970949,-1.625459328,0.474243374,-0.00750419,0.281847826,-0.090451865,0.143547627,-0.025745914,0.031047348,-0.054049693,0.024177245
216348,1.883086036,-1.646978719,-0.1690915,0.215656333,-0.375316947,0.44960115,-0.260618464,-0.239627936,-0.079496316,-0.047671627,0.096903528
927555,1.490917093,-1.614003203,0.326154315,0.258962765,0.036260451,0.237097603,-0.159387401,-0.007186512,-0.015452245,0.018184386,0.035909999
189644,2.060193464,-1.684723783,-0.845238666,0.698578317,-0.401350613,0.016186932,-0.352157101,-0.218726663,0.015470395,0.025820655,0.118835869
944084,0.845520551,0.664288351,-0.051716114,-0.445941227,-0.192595639,0.365240206,-0.190541446,-0.159375922,0.126979206,0.071971043,-0.053229358
307461,1.029611408,0.460293006,0.22746418,0.092024287,0.030704646,0.222883647,-0.059071001,0.198329959,-0.06570221,0.000366445,-0.001523259
346336,0.987920881,0.427806392,-0.360086862,0.408293523,0.78280541,0.615098123,-0.005565722,0.160985556,-0.079631183,0.004241179,-0.094431697
472102,0.172985025,0.455872678,0.108076439,-0.380737928,0.363188204,0.013589875,0.085141354,-0.058883775,0.13485808,0.0580355,0.048813058
238115,1.599157944,0.464212939,0.265755677,0.388044497,-0.039454217,0.354606082,-0.184239583,-0.263837017,-0.107323811,-0.082127366,0.038867784
85915,0.926357282,-1.608071157,0.467237235,0.058713534,0.235857393,0.318367814,0.047940024,0.090735971,-0.040582525,0.01270697,-0.001209929
187478,0.900143679,0.461051282,0.399529303,0.183973488,0.033430159,0.600280726,-0.148887535,0.232981256,-0.024886918,-0.021826255,-0.027001578
84209,0.104409737,-0.915688139,0.704070537,0.446127051,0.247741771,0.416869515,0.157958773,-0.061908268,-0.051430783,0.026067615,-0.020873472
204901,1.962539967,0.716407638,-0.85811486,0.74857324,-0.221430943,0.237502312,-0.125273419,-0.176953942,0.030287293,0.010746216,0.105727395
232480,1.923939669,-0.590237109,-1.363469491,0.180308557,0.657295379,-0.027935613,-0.156904649,-0.140948138,-0.261187371,-0.101918054,-0.139977904
1535255,1.923939669,-0.590237109,-1.363469491,0.180308557,0.657295379,-0.027935613,-0.156904649,-0.140948138,-0.261187371,-0.101918054,-0.139977904
131650,0.013086631,-0.52269988,0.576516672,-0.029658208,-0.1940022,0.434193691,-0.126869037,0.240215744,0.076172396,0.026946504,-0.029182098
317093,1.837984781,-1.643575541,-0.288130691,0.260251169,-0.119195734,-5.98809E-06,-0.201900262,-0.325269082,-0.061462688,-0.074471511,0.034629274
350840,0.98846702,0.452988885,0.133237441,-0.169173512,-0.224729849,0.160737915,-0.193112487,0.072378812,0.028821103,0.058676162,-0.070935195
467203,0.508505017,0.886440081,0.544599297,-0.113024294,0.227820219,0.023480599,0.006521518,0.154047859,0.126093157,0.020407279,0.01481322
9680,1.690027038,0.136627555,-0.415641914,0.683602408,-0.151586249,0.075456407,0.120563119,0.519197501,-0.138990023,-0.023702348,0.011361596
137390,0.208246537,0.675306034,0.266786618,0.052066474,-0.100162819,0.166576195,0.187953157,0.104550093,0.017787618,0.077578105,-0.020241061
199995,0.572031675,0.427367589,-0.192582032,0.205935043,0.149239948,0.505079162,0.281491641,0.268839053,-0.069405675,-0.004349543,-0.024106939
781423,2.004179508,-1.681398048,-0.881203197,0.427029071,0.071565474,0.275687544,-0.22541305,0.360871704,0.072300711,0.01049483,-0.080830511
325459,-0.010881901,-0.535633344,0.222159583,-0.26513463,-0.202248423,0.261315656,0.112485034,-0.053204853,-0.210170625,0.041278769,-0.02797279
414251,1.168125262,0.679334977,0.152890317,0.0866471,-0.139327426,0.073476632,-0.335210751,-0.159741381,0.062288761,0.120656159,0.017787267
530745,0.459148383,0.163909489,0.313119714,0.186354876,0.304488349,0.7810251,-0.086461812,0.155129709,-0.126042757,-0.000689614,-0.043027145
404434,1.066837588,0.651487672,-0.254770741,0.263622092,-0.002105691,0.510953559,0.17857348,-0.044063381,-0.177669267,-0.084121061,0.004336254
615026,1.989480035,-0.232633777,0.386840537,1.739800761,-0.897636812,-0.483487471,0.297476616,0.167454358,0.000390461,0.013574527,0.10459205
144847,0.727767815,0.446870224,0.176312633,-0.112778252,0.127186692,0.824892333,-0.177512671,0.167657871,-0.019181851,-0.022273908,0.016879404
256349,1.886979729,0.427740299,-0.381498828,0.379068735,-0.45139961,-0.075968314,-0.385565252,-0.176431103,0.113416508,0.073136374,0.078086735
355142,-0.335322298,-0.93783787,0.213328329,-0.074283119,0.290376598,0.083510442,0.224798807,-0.231846932,-0.136107549,0.038231399,-0.038276406
357406,-0.335322298,-0.93783787,0.213328329,-0.074283119,0.290376598,0.083510442,0.224798807,-0.231846932,-0.136107549,0.038231399,-0.038276406
467749,1.886979729,0.427740299,-0.381498828,0.379068735,-0.45139961,-0.075968314,-0.385565252,-0.176431103,0.113416508,0.073136374,0.078086735
814751,1.426721162,0.445567605,-0.051529627,-0.116721479,-0.158016143,0.31608907,-0.378412226,-0.003456762,-0.077658724,0.08874689,-0.086129804
39656,1.632257088,-1.631123964,0.099425075,0.651835494,-0.34494328,0.00671748,0.168294196,0.579391054,-0.101372051,-0.004695376,0.033003512
204386,1.443942207,-1.635478734,-0.06209251,-0.130130237,-0.039012106,0.226353002,-0.31273532,0.007026496,0.104843265,0.006981338,-0.037555417
600069,1.443942207,-1.635478734,-0.06209251,-0.130130237,-0.039012106,0.226353002,-0.31273532,0.007026496,0.104843265,0.006981338,-0.037555417
94210,2.037797675,-1.660651802,-0.649476419,0.178152517,-0.105902376,-0.142042402,-0.32681305,0.098437278,-0.015925686,0.053921652,0.072788838
203008,-0.487310704,-0.548117145,0.222694519,0.221541281,0.173997946,0.655958768,0.240002707,0.33649067,-0.132023023,0.04450944,-0.028605624
361393,0.332707951,-0.919237735,0.484451981,0.110490355,0.173620262,-0.008232757,-0.138434226,0.351515362,0.074230424,0.056979321,-0.061652974
574772,-1.642334377,0.653494941,0.314646034,0.216069524,0.303874831,0.37716939,0.040431629,0.068554909,-0.073473804,0.014672302,0.055451816
1426748,0.332707951,-0.919237735,0.484451981,0.110490355,0.173620262,-0.008232757,-0.138434226,0.351515362,0.074230424,0.056979321,-0.061652974
1589051,0.332707951,-0.919237735,0.484451981,0.110490355,0.173620262,-0.008232757,-0.138434226,0.351515362,0.074230424,0.056979321,-0.061652974
490004,-1.077904655,0.668040565,0.494543463,0.143628135,-0.262902379,0.181204295,0.036237412,-0.480998822,-0.251226103,0.153501495,0.032754344
379125,1.20642226,0.438124512,-0.136482388,-0.08465539,0.059786533,0.525202063,-0.210660859,0.112354717,-0.05605751,0.086389003,-0.01003664
247966,1.906110897,0.715928741,-1.007212129,0.423638493,-0.087005104,-0.025974329,-0.288242854,-0.386718975,0.109583822,-0.00326594,0.07954824
806336,0.93875491,0.728418821,0.833521723,0.175345973,0.106292303,-0.512908863,-0.346315513,-0.07818201,0.01482857,0.039092845,0.025543675
742899,1.963091748,0.14114554,-0.464045519,0.216649251,-0.291474645,-0.070935359,-0.215905859,0.349387752,-0.135888619,0.01436827,0.011991779
154544,-2.106066983,-0.953206889,0.450796333,0.00453627,0.040769956,0.046276119,0.01887649,-0.191437803,-0.303575569,-0.013835308,0.0661132
858710,1.816368831,-0.026394596,-0.140183564,0.01633141,-0.333118967,0.162136863,-0.20066658,-0.161523485,0.09051508,0.024409261,0.041712711
61912,1.987956341,-1.658343762,-0.683755236,0.027934884,-0.0042079,-0.16885076,-0.105796171,0.280527194,-0.029429003,-0.040274421,-0.042477613
74005,1.987956341,-1.658343762,-0.683755236,0.027934884,-0.0042079,-0.16885076,-0.105796171,0.280527194,-0.029429003,-0.040274421,-0.042477613
764702,1.987956341,-1.658343762,-0.683755236,0.027934884,-0.0042079,-0.16885076,-0.105796171,0.280527194,-0.029429003,-0.040274421,-0.042477613
43714,0.555970418,0.444423205,0.110391457,-0.186566947,-0.023877022,0.472671502,-0.222221637,0.046096764,0.024587818,-0.093509852,-0.018695851
117844,0.530666944,-0.529649729,0.179314367,-0.287278834,-0.243880114,0.029516,-0.104880709,-0.079326186,0.053019865,-0.01294509,-0.065058702
291043,-0.206011438,-0.545001735,0.154437798,0.160182064,0.232988422,0.583457311,0.203115122,-0.076775718,-0.111689952,0.016909152,0.010751437
239921,0.534769366,-1.623207494,0.367907205,-0.20936293,-0.131250656,0.384508858,0.127139827,0.153045525,0.059038652,0.034997462,-0.076815495
956707,0.821212879,-0.536444255,0.157198406,0.182193845,0.059972771,0.576265444,-0.17992688,0.099851908,-0.041143676,0.021237463,-0.028136963
864209,1.088738112,0.663707003,-0.098818604,-0.005629803,-0.02200373,0.357964223,-0.176057105,-0.104473393,-0.071621367,-0.089045103,-0.045934345
163229,1.124945567,0.677255471,0.125918211,-0.100657735,0.079082824,0.591544298,0.011094827,0.03208871,-0.074374292,0.007666734,-0.003007348
604852,-0.658482294,0.655888896,0.176879318,-0.004657397,0.04191115,0.531541108,0.14299556,0.06693914,-0.151615326,-0.005284964,-5.08573E-05
678009,1.821450998,-1.646388762,-0.305559705,-0.009212154,-0.467739178,0.018021731,0.065243377,-0.326240802,0.018560339,-0.018213083,-0.038905196
781399,1.935566455,0.083065577,-1.416065489,1.145047592,0.070961295,0.145488083,0.561066061,-0.533487088,-0.143074595,-0.203747873,0.029955945
75747,0.140012158,-1.602264744,0.74293383,0.151400748,0.018290565,-0.009703793,-0.014069057,-0.056920595,-0.077568052,0.07984212,-0.056079323
631774,0.875186346,-0.533623532,0.217808734,-0.028180506,-0.375757831,0.504851313,-0.031337296,-0.292746011,-0.101275401,-0.046150864,-0.024014431
944310,1.497122043,0.444632203,-0.035893479,-0.037836343,-0.315420644,0.337955142,-0.239506162,-0.239477449,0.073753087,-0.042620595,-0.001917624
59156,1.419237107,-0.506905296,0.483376834,0.462030534,-0.113701665,0.148733665,0.03352958,0.065060059,-0.011637966,-0.065213908,0.05558175
486047,0.242501138,0.705556433,0.661070001,0.409549772,0.342839491,-0.167486435,-0.148965952,-0.12506768,0.090480675,-0.074312629,0.025476058
745964,0.828568278,-0.530460519,0.315230986,0.230038968,0.036579206,0.869368608,0.119531964,0.545766419,-0.27560259,-0.036252884,-0.003322135
175286,1.501818163,-0.522542159,0.086694387,-0.175723757,-0.102162449,0.124879335,-0.204967489,-0.192991689,0.041083506,-0.009688812,0.011839555
811622,1.625745538,0.444865241,-0.151746652,0.204814294,0.11855973,0.24700034,-0.366153447,-0.063481284,-0.142518134,-0.02546337,0.043594485
240252,1.276194283,-0.514741737,0.279163359,-0.094478279,0.125463981,0.277252085,-0.332370295,0.087771489,-0.120232672,0.052563696,0.015871956
295756,0.597095996,0.461224478,0.318137531,0.023739546,0.054409778,0.281195729,0.086417267,0.173504095,-0.170347992,0.003217022,-0.07185608
114342,0.959425846,0.698329486,0.419915592,0.352400761,0.366679477,0.091319338,-0.221430472,-0.038151708,-0.124055431,0.011761067,-0.066428629
2674162,0.580362583,-1.606901703,0.278381781,0.03910319,0.936561058,-0.054260119,0.153099175,0.004971205,0.154952154,0.1016792,0.025999291
162677,1.685629494,0.166486594,0.157984141,0.90033305,-0.369596308,-0.049065617,0.129494333,0.204164758,-0.051813779,0.027530573,0.015941371
246611,-1.48272681,0.638353254,0.053582407,0.560982293,0.3738766,0.424727446,0.270699903,-0.023476848,-0.095802799,0.014101294,0.028000364
766893,1.176453335,0.882192185,0.46365277,0.175246482,-0.05995851,0.135884908,0.031159873,0.116073116,-0.065291375,0.012287118,0.002516643
899530,-0.334516146,-0.019460565,0.398349264,-0.165682553,0.024683757,0.466924517,-0.003947722,-0.050420987,-0.139129816,0.035102083,0.002791265
922728,0.878728674,0.685411546,0.265589374,-0.401079883,-0.140397431,0.37720031,0.042911285,0.008882728,-0.023693167,0.003263417,0.000690294
131627,-0.160146672,-0.527988852,0.445610795,-0.206376393,-0.072052207,0.405465045,-0.194101996,0.008078177,-0.026823355,0.027300335,-0.031064705
625739,0.11374443,0.561174509,0.266322474,0.167652027,0.054506931,0.678269919,-0.045604878,0.226118833,-0.252389305,-0.017214402,-0.03554761
237205,0.431075269,-1.607604359,0.426158826,-0.517233205,0.037420306,-0.104055812,0.098399343,0.20514765,0.071350016,-0.004902556,-0.036788616
615119,1.658977281,-1.608403384,0.200365759,0.440196794,0.428642465,-0.214927956,-0.24657232,0.026919062,-0.023358115,-0.005001211,-0.013681012
1482685,0.431075269,-1.607604359,0.426158826,-0.517233205,0.037420306,-0.104055812,0.098399343,0.20514765,0.071350016,-0.004902556,-0.036788616
239827,0.959343172,0.455435781,0.121978371,-0.303173911,0.354867911,0.637072407,-0.135895968,0.113837589,0.097176563,0.022451252,0.030477016
266063,-0.402627822,-0.907743052,0.604067412,0.186413241,0.650923514,-0.461890509,-0.092692526,-0.019039321,0.134933324,-0.000157202,0.061164057
605375,0.826224368,0.448989025,0.033666433,-0.571317891,-0.131937796,0.324682132,-0.096826995,-0.074483227,0.100021089,0.075846434,-0.001674721
